year,country,iso3,crude_birth_rate,crude_death_rate,govt_health_capex_musd,hiv_deaths,hiv_prevalence,immunization_dpt,immunization_measles,infant_mortality,life_expectancy,life_expectancy_female,life_expectancy_male,malaria_cases,maternal_mortality,nurses_midwives_per_1000,pharma_workers_per_1000,physicians_per_1000,tb_prevalence,under5_mortality,undernourished_pct,underweight_children_pct,wb_population,wb_gdp_per_capita,wb_sanitation_pct,wb_agriculture_pct_gdp,log_capex_per_capita,log_gdp_per_capita,sanitation_pct,agriculture_pct_gdp
2008,Singapore,SGP,10.2,4.4,307.1,,,96.0,95.0,2.1,80.85,83.3,78.4,3.1,7.5,4.992,0.319,1.617,40.3,2.7,2.5,,4839396.0,40008.5720489092,100.0,0.0414321884664469,4.1660190057992414,10.596874005690832,100.0,0.0414321884664469
2009,Singapore,SGP,9.9,4.3,488.8,,,97.0,95.0,2.2,81.30000000000001,83.7,78.9,3.4,0.0,5.396,0.334,1.676,39.4,2.8,2.5,,4987573.0,38926.8054365453,100.0,0.0406877612701381,4.595155991834929,10.569464066977144,100.0,0.0406877612701381
2010,Singapore,SGP,9.3,4.4,355.7,,,97.0,95.0,2.0,81.6,84.0,79.2,3.7,2.6,5.777,0.357,1.736,39.9,2.9,2.5,,5076732.0,47236.683084953,100.0,0.0361489888834213,4.263591548593738,10.762947223489407,100.0,0.0361489888834213
2011,Singapore,SGP,9.5,4.5,360.2,,,96.0,95.0,2.0,81.8,84.1,79.5,2.9,,5.194,0.388,1.747,41.0,2.9,2.5,,5183688.0,53891.4570264372,100.0,0.0346076007512354,4.255431229405079,10.894745803253148,100.0,0.0346076007512354
2012,Singapore,SGP,10.1,4.5,484.1,,,96.0,95.0,1.8,82.05,84.3,79.8,2.7,2.0,5.55,0.374,1.82,41.5,2.7,2.5,,5312437.0,55547.5553077786,100.0,0.033272726533169,4.52315488807929,10.925012787668896,100.0,0.033272726533169
2013,Singapore,SGP,9.3,4.6,577.8,,,96.0,95.0,2.0,82.3,84.5,80.1,2.1,3.0,5.649,0.404,1.913,37.6,2.6,2.5,,5399162.0,56967.4257940383,100.0,0.0343752167938134,4.682284987450976,10.950252459900955,100.0,0.0343752167938134
2014,Singapore,SGP,9.8,4.7,905.3,,,96.0,94.0,1.8,82.7,84.9,80.5,1.1,2.0,,,,36.9,2.6,2.5,,5469724.0,57564.8023114977,100.0,0.0345408510735362,5.115061934407868,10.960683960498656,100.0,0.0345408510735362
2004,Thailand,THA,14.5,6.8,242.4,,1.56,,96.0,7.5,71.45,75.0,67.9,,,1.479,0.113,0.289,142.0,11.3,15.0,,65452047.0,2641.56268717857,93.2050846909476,9.29111013904814,1.548301533027452,7.879504440141754,93.2050846909476,9.29111013904814
2005,Thailand,THA,13.0,6.8,276.0,42000.0,1.5,,96.0,7.6,73.25,76.8,69.7,45.2,,1.5075,0.11649999999999999,0.2875,51.9,10.8,13.4,,66017420.0,2867.70383436062,93.4725323543909,9.19435528237181,1.6449430248434516,7.961615581081763,93.4725323543909,9.19435528237181
2006,Thailand,THA,12.9,7.9,360.6,,1.46,,96.0,7.4,73.75,77.6,69.9,46.3,11.7,1.536,0.12,0.286,53.4,10.4,11.7,7.0,66567687.0,3331.32043511773,93.7441160220544,9.40199346621521,1.858957366112089,8.111424167665712,93.7441160220544,9.40199346621521
2007,Thailand,THA,14.6,8.5,407.5,,1.42,98.0,96.0,7.2,73.55,77.0,70.1,49.1,12.2,1.524,0.12,0.295,53.8,10.0,10.4,,67102394.0,3918.52817434581,94.0200504764456,9.3476847010693,1.956257666803141,8.273726561852925,94.0200504764456,9.3476847010693
2008,Thailand,THA,14.5,9.0,614.8,,1.3800000000000001,98.0,96.0,7.3,73.69999999999999,77.1,70.3,45.7,11.3,1.586,0.129,0.317,54.3,9.9,9.7,,67619830.0,4309.13509292986,94.3003992134307,10.0724338253633,2.311743771730591,8.368724526673832,94.3003992134307,10.0724338253633
2009,Thailand,THA,14.4,6.2,648.9,,1.34,99.0,98.0,7.1,73.85,77.3,70.4,36.6,10.8,1.65,0.126,0.34,63.1,9.8,9.5,,68121080.0,4135.43986952819,94.5853633004337,9.78703375942043,2.3538185304029393,8.327590761966666,94.5853633004337,9.78703375942043
2010,Thailand,THA,12.1,6.5,583.7,23000.0,1.3,99.0,98.0,7.0,74.0,77.4,70.6,40.3,10.2,2.08,0.13,0.394,63.7,9.8,9.3,,68579447.0,4973.86288823778,94.8749317339833,10.5221756369849,2.252480186370415,8.512153089059694,94.8749317339833,10.5221756369849
2011,Thailand,THA,12.4,6.5,1009.4,,1.2666666666666666,99.0,98.0,6.6,74.15,77.5,70.8,33.0,8.9,,,,66.9,9.0,8.9,,69007208.0,5373.6232832898,95.1764985756383,11.5917917775207,2.74902946120255,8.589443763709863,95.1764985756383,11.5917917775207
2012,Thailand,THA,12.5,6.5,1253.4,,1.2333333333333334,99.0,98.0,6.8,74.25,77.6,70.9,,17.6,,,,159.0,9.0,8.6,9.2,69436098.0,5725.52802835463,95.4825472825224,11.5041001535767,2.9471263934421295,8.652864697325859,95.4825472825224,11.5041001535767
2013,Thailand,THA,10.2,7.7,991.1,,1.2000000000000002,100.0,98.0,,74.44999999999999,77.8,71.1,,26.0,,,,,9.0,8.3,,69845114.0,6018.08244729255,95.7914583178376,11.3222153379773,2.7206352734692034,8.702690109292892,95.7914583178376,11.3222153379773
2004,Vietnam,VNM,19.2,5.4,189.0,,0.36,,97.0,18.0,72.15,74.9,69.4,,,0.8029999999999999,0.28200000000000003,0.9836666666666667,176.0,26.8,19.9,23.8,80338971.0,565.452284586212,56.9263485038899,21.8076993514673,1.2097158807812174,6.339392848476184,56.9263485038899,21.8076993514673
2005,Vietnam,VNM,18.6,5.3,274.5,10000.0,0.4,,95.0,17.8,72.25,75.0,69.5,99.3,80.0,0.827,0.276,1.201,116.0,24.1,19.0,22.7,81088313.0,710.746759994861,58.966321324654,19.2999788840494,1.4782347928251915,6.567722173980397,58.966321324654,19.2999788840494
